Wall time,Step,Value
1674230165.166215,244,-12.199596405029297
1674230165.178038,245,-12.198914527893066
1674230165.191368,246,-12.198232650756836
1674230165.200541,247,-12.197547912597656
1674230165.247977,252,-12.194112777709961
1674230165.260376,253,-12.193422317504883
1674230165.269615,254,-12.192730903625488
1674230165.299559,257,-12.190650939941406
1674230165.308594,258,-12.18995475769043
1674230165.319022,259,-12.189258575439453
1674230165.326263,260,-12.188560485839844
1674230165.343522,262,-12.187162399291992
1674230165.416423,270,-12.18152904510498
1674230165.427693,271,-12.18082046508789
1674230165.468085,274,-12.178688049316406
1674230165.476637,275,-12.17797565460205
1674230165.488393,276,-12.177262306213379
1674230165.506672,278,-12.17583179473877
1674230165.523569,280,-12.174398422241211
1674230165.540492,282,-12.172961235046387
1674230165.548728,283,-12.1722412109375
1674230165.569479,285,-12.170798301696777
1674230165.587233,287,-12.169351577758789
1674230165.593665,288,-12.16862678527832
1674230165.610294,290,-12.167174339294434
1674230165.65724,295,-12.163528442382812
1674230165.665489,296,-12.162796974182129
1674230165.674945,297,-12.162063598632812
1674230165.683291,298,-12.161330223083496
1674230165.734829,304,-12.15691089630127
1674230165.752356,306,-12.155431747436523
1674230165.770563,308,-12.153948783874512
1674230165.777512,309,-12.153205871582031
1674230165.809035,312,-12.150972366333008
1674230165.821965,313,-12.150226593017578
1674230165.85862,316,-12.14798355102539
1674230165.876206,318,-12.146484375
1674230165.886211,319,-12.145733833312988
1674230165.913031,322,-12.143476486206055
1674230165.935412,324,-12.141968727111816
1674230165.982051,329,-12.13818359375
1674230165.994186,330,-12.13742446899414
1674230166.005852,331,-12.136665344238281
1674230166.014472,332,-12.135904312133789
1674230166.063245,337,-12.13209056854248
1674230166.074104,338,-12.131326675415039
1674230166.091472,340,-12.129794120788574
1674230166.119552,343,-12.12749195098877
1674230166.126574,344,-12.12672233581543
1674230166.136164,345,-12.12595272064209
1674230166.143084,346,-12.125182151794434
1674230166.160609,348,-12.123640060424805
1674230166.177311,350,-12.12209415435791
1674230166.194168,352,-12.120546340942383
1674230166.204676,353,-12.119771003723145
1674230166.211782,354,-12.118995666503906
1674230166.246963,358,-12.115886688232422
1674230166.26602,360,-12.114328384399414
1674230166.283614,362,-12.112767219543457
1674230166.293018,363,-12.11198616027832
1674230166.303584,364,-12.111204147338867
1674230166.312374,365,-12.110421180725098
1674230166.323169,366,-12.109638214111328
1674230166.332297,367,-12.108854293823242
1674230166.340274,368,-12.108070373535156
1674230166.393506,374,-12.103351593017578
1674230166.424022,377,-12.100984573364258
1674230166.43328,378,-12.100193977355957
1674230166.503277,385,-12.094647407531738
1674230166.510948,386,-12.093852996826172
1674230166.546169,390,-12.090669631958008
1674230166.55665,391,-12.089872360229492
1674230166.565132,392,-12.08907413482666
1674230166.573883,393,-12.088275909423828
1674230166.582214,394,-12.087477684020996
1674230166.591178,395,-12.086678504943848
1674230166.599532,396,-12.085878372192383
1674230166.607711,397,-12.085078239440918
1674230166.616286,398,-12.084277153015137
1674230166.625021,399,-12.083476066589355
1674230166.642233,401,-12.08187198638916
1674230166.650957,402,-12.081068992614746
1674230166.668993,404,-12.079462051391602
1674230166.703759,408,-12.076242446899414
1674230166.710649,409,-12.07543659210205
1674230166.738183,412,-12.073015213012695
1674230166.745082,413,-12.0722074508667
1674230166.756423,414,-12.071398735046387
1674230166.763958,415,-12.070590019226074
1674230166.795768,418,-12.068161010742188
1674230166.8331,421,-12.065728187561035
1674230166.841752,422,-12.064916610717773
1674230166.869619,425,-12.062478065490723
1674230166.880825,426,-12.061664581298828
1674230166.922141,430,-12.058406829833984
1674230166.929264,431,-12.057591438293457
1674230166.958753,434,-12.055142402648926
1674230166.967372,435,-12.054325103759766
1674230166.975684,436,-12.053507804870605
1674230166.984225,437,-12.052689552307129
1674230166.992489,438,-12.051871299743652
1674230167.002875,439,-12.051053047180176
1674230167.010154,440,-12.050233840942383
1674230167.018568,441,-12.04941463470459
1674230167.035114,443,-12.047774314880371
1674230167.043083,444,-12.046954154968262
1674230167.052586,445,-12.046133041381836
1674230167.06032,446,-12.04531192779541
1674230167.099913,450,-12.042023658752441
1674230167.108629,451,-12.041200637817383
1674230167.117598,452,-12.040377616882324
1674230167.134595,453,-12.03955364227295
1674230167.144209,454,-12.038729667663574
1674230167.16345,456,-12.037080764770508
1674230167.186764,458,-12.035430908203125
1674230167.208591,460,-12.03377914428711
1674230167.218345,461,-12.032953262329102
1674230167.253059,464,-12.030472755432129
1674230167.267766,465,-12.029644966125488
1674230167.281081,466,-12.028817176818848
1674230167.304395,468,-12.02716064453125
1674230167.32496,470,-12.025503158569336
1674230167.360906,474,-12.022184371948242
1674230167.370972,475,-12.021354675292969
1674230167.395296,478,-12.018861770629883
1674230167.406307,479,-12.018030166625977
1674230167.413504,480,-12.01719856262207
1674230167.424914,481,-12.016366004943848
1674230167.433489,482,-12.015534400939941
1674230167.442773,483,-12.014701843261719
1674230167.453217,484,-12.013869285583496
1674230167.479048,486,-12.012202262878418
1674230167.490996,487,-12.011368751525879
1674230167.499787,488,-12.01053524017334
1674230167.509565,489,-12.009700775146484
1674230167.528548,491,-12.00803279876709
1674230167.557259,494,-12.00552749633789
1674230167.593308,498,-12.00218391418457
1674230167.623354,501,-11.999674797058105
1674230167.630189,502,-11.9988374710083
1674230167.641348,503,-11.998000144958496
1674230167.666806,506,-11.995487213134766
1674230167.684522,508,-11.993810653686523
1674230167.693683,509,-11.992972373962402
1674230167.702983,510,-11.992134094238281
1674230167.710001,511,-11.991294860839844
1674230167.718766,512,-11.990455627441406
1674230167.727465,513,-11.989616394042969
1674230167.737125,514,-11.988777160644531
1674230167.760374,517,-11.986258506774902
1674230167.769219,518,-11.985418319702148
1674230167.776993,519,-11.984577178955078
1674230167.785589,520,-11.983736991882324
1674230167.810913,523,-11.98121452331543
1674230167.870522,530,-11.975322723388672
1674230167.898048,533,-11.972795486450195
1674230167.913656,534,-11.971952438354492
1674230167.937964,536,-11.970266342163086
1674230167.95339,537,-11.969423294067383
1674230167.968644,538,-11.96858024597168
1674230167.977754,539,-11.96773624420166
1674230167.989109,540,-11.966893196105957
1674230168.01002,542,-11.965205192565918
1674230168.02068,543,-11.964361190795898
1674230168.029466,544,-11.963517189025879
1674230168.053184,546,-11.961828231811523
1674230168.061851,547,-11.960984230041504
1674230168.107404,550,-11.958450317382812
1674230168.134737,552,-11.956759452819824
1674230168.160399,554,-11.955069541931152
1674230168.173173,555,-11.9542236328125
1674230168.185471,556,-11.953378677368164
1674230168.260478,562,-11.94830322265625
1674230168.271618,563,-11.947457313537598
