Wall time,Step,Value
1674230185.522819,694,-11.862954139709473
1674230185.539511,695,-11.882487297058105
1674230185.555924,696,-11.852370262145996
1674230185.570378,697,-11.807079315185547
1674230185.604138,699,-11.824061393737793
1674230185.655948,702,-11.834232330322266
1674230185.673716,703,-11.800156593322754
1674230185.703809,705,-11.796164512634277
1674230185.769185,709,-11.91817855834961
1674230185.784535,710,-11.888050079345703
1674230185.816388,712,-11.886737823486328
1674230185.861626,715,-11.750965118408203
1674230185.892044,717,-11.794637680053711
1674230185.923332,719,-11.819807052612305
1674230185.942174,720,-11.86094856262207
1674230185.959831,721,-11.8095121383667
1674230185.989053,723,-11.79477596282959
1674230186.023341,725,-11.830244064331055
1674230186.040716,726,-11.836593627929688
1674230186.058871,727,-11.792776107788086
1674230186.07478,728,-11.815098762512207
1674230186.091079,729,-11.820016860961914
1674230186.12711,731,-11.784802436828613
1674230186.14619,732,-11.777831077575684
1674230186.164995,733,-11.766141891479492
1674230186.262701,738,-11.75527286529541
1674230186.279183,739,-11.834848403930664
1674230186.296107,740,-11.852751731872559
1674230186.333563,742,-11.749380111694336
1674230186.35165,743,-11.778615951538086
1674230186.372523,744,-11.759661674499512
1674230186.391244,745,-11.788055419921875
1674230186.52774,752,-11.795509338378906
1674230186.577753,755,-11.783419609069824
1674230186.594085,756,-11.791525840759277
1674230186.627095,758,-11.778172492980957
1674230186.712326,763,-11.748078346252441
1674230186.735882,764,-11.727073669433594
1674230186.761172,765,-11.790337562561035
1674230186.810749,768,-11.800741195678711
1674230186.826877,769,-11.805939674377441
1674230186.875952,772,-11.844776153564453
1674230186.893996,773,-11.796279907226562
1674230186.925147,775,-11.792457580566406
1674230186.94322,776,-11.761946678161621
1674230186.977531,778,-11.71933364868164
1674230186.993825,779,-11.788307189941406
1674230187.008427,780,-11.836166381835938
1674230187.024587,781,-11.802337646484375
1674230187.043751,782,-11.783763885498047
1674230187.144264,788,-11.684503555297852
1674230187.158844,789,-11.764497756958008
1674230187.185886,791,-11.76225757598877
1674230187.223663,793,-11.750288009643555
1674230187.25572,795,-11.856362342834473
1674230187.268159,796,-11.772562980651855
1674230187.313903,799,-11.666159629821777
1674230187.327608,800,-11.65223503112793
1674230187.390322,804,-11.704658508300781
1674230187.407733,805,-11.763869285583496
1674230187.422821,806,-11.709063529968262
1674230187.438991,807,-11.813427925109863
1674230187.491006,810,-11.731847763061523
1674230187.536918,813,-11.836603164672852
1674230187.619239,818,-11.724849700927734
1674230187.637576,819,-11.75722599029541
1674230187.672258,821,-11.768421173095703
1674230187.687574,822,-11.748809814453125
1674230187.701726,823,-11.748917579650879
1674230187.730498,825,-11.70685863494873
1674230187.744262,826,-11.684807777404785
1674230187.760345,827,-11.707273483276367
1674230187.775258,828,-11.66842269897461
1674230187.834779,832,-11.732508659362793
1674230187.849208,833,-11.665294647216797
1674230187.88482,835,-11.784987449645996
1674230187.899668,836,-11.805033683776855
1674230187.916649,837,-11.721153259277344
1674230187.94298,839,-11.726868629455566
1674230187.960378,840,-11.688600540161133
1674230188.008149,843,-11.681876182556152
1674230188.036705,845,-11.711219787597656
1674230188.123632,850,-11.737043380737305
1674230188.139368,851,-11.773873329162598
1674230188.187524,854,-11.781745910644531
1674230188.240212,857,-11.682698249816895
1674230188.281741,860,-11.663969993591309
1674230188.308157,862,-11.671087265014648
1674230188.354329,865,-11.724507331848145
1674230188.368898,866,-11.790318489074707
1674230188.429757,870,-11.743165016174316
1674230188.442839,871,-11.727538108825684
1674230188.60919,881,-11.68612289428711
1674230188.643551,883,-11.70710277557373
1674230188.660032,884,-11.65578842163086
1674230188.674353,885,-11.706793785095215
1674230188.698716,886,-11.686861991882324
1674230188.735306,888,-11.652033805847168
1674230188.780898,890,-11.720561981201172
1674230188.823906,892,-11.650158882141113
1674230188.875371,895,-11.664292335510254
1674230188.91046,897,-11.704493522644043
1674230188.927102,898,-11.619836807250977
1674230188.977156,901,-11.62824821472168
1674230188.992898,902,-11.669671058654785
1674230189.025206,904,-11.655679702758789
1674230189.053013,906,-11.715177536010742
1674230189.068333,907,-11.638216972351074
1674230189.082139,908,-11.672407150268555
1674230189.110711,910,-11.684280395507812
1674230189.127441,911,-11.62259292602539
1674230189.176252,914,-11.691330909729004
1674230189.234008,918,-11.65247917175293
1674230189.247,919,-11.586535453796387
1674230189.277536,921,-11.666097640991211
1674230189.310196,923,-11.654281616210938
1674230189.37342,927,-11.658799171447754
1674230189.388503,928,-11.681694030761719
1674230189.403678,929,-11.656469345092773
1674230189.419464,930,-11.599397659301758
1674230189.436055,931,-11.589947700500488
1674230189.450509,932,-11.589227676391602
1674230189.469553,933,-11.669246673583984
1674230189.502,935,-11.653398513793945
1674230189.561298,939,-11.674567222595215
1674230189.591889,941,-11.698012351989746
1674230189.605462,942,-11.577521324157715
1674230189.651477,945,-11.576969146728516
1674230189.714449,949,-11.580735206604004
1674230189.763374,952,-11.686131477355957
1674230189.794266,954,-11.625738143920898
1674230189.812663,955,-11.629463195800781
1674230189.827953,956,-11.588661193847656
1674230189.891966,960,-11.612447738647461
1674230189.926543,962,-11.632978439331055
1674230189.942281,963,-11.626407623291016
1674230189.960766,964,-11.628167152404785
1674230189.976231,965,-11.663093566894531
1674230190.014763,967,-11.64799976348877
1674230190.035272,968,-11.585951805114746
1674230190.1005,971,-11.580568313598633
1674230190.199873,976,-11.58948040008545
1674230190.240264,978,-11.625279426574707
1674230190.264292,979,-11.62230110168457
1674230190.303438,981,-11.651476860046387
1674230190.325382,982,-11.695852279663086
1674230190.394387,986,-11.605281829833984
1674230190.423658,988,-11.589542388916016
1674230190.443943,989,-11.682088851928711
1674230190.462606,990,-11.634819984436035
1674230190.496349,992,-11.615477561950684
1674230190.526689,994,-11.569256782531738
1674230190.542417,995,-11.545942306518555
1674230190.559533,996,-11.551212310791016
1674230190.601563,998,-11.614176750183105
1674230190.621951,999,-11.610586166381836
1674230190.655602,1001,-11.607771873474121
1674230190.676817,1002,-11.584726333618164
1674230190.68926,1003,-11.639801979064941
1674230190.70343,1004,-11.546707153320312
1674230190.718963,1005,-11.545003890991211
1674230190.732806,1006,-11.580117225646973
1674230190.810116,1011,-11.570391654968262
1674230190.84429,1013,-11.534642219543457
1674230190.875888,1015,-11.621390342712402
1674230190.893523,1016,-11.577739715576172
1674230190.911008,1017,-11.57848834991455
1674230190.994123,1022,-11.542441368103027
1674230191.061273,1026,-11.594880104064941
1674230191.087912,1028,-11.572854042053223
1674230191.103338,1029,-11.546114921569824
1674230191.194674,1035,-11.599030494689941
1674230191.205865,1036,-11.532940864562988
1674230191.225836,1037,-11.514437675476074
1674230191.244316,1038,-11.580095291137695
1674230191.259753,1039,-11.55932331085205
1674230191.322256,1043,-11.596790313720703
1674230191.354681,1045,-11.57950210571289
1674230191.369987,1046,-11.56721305847168
1674230191.463208,1052,-11.591350555419922
1674230191.479955,1053,-11.524295806884766
1674230191.526538,1056,-11.527134895324707
1674230191.555918,1058,-11.528584480285645
1674230191.572644,1059,-11.525323867797852
1674230191.58839,1060,-11.540053367614746
1674230191.616645,1062,-11.527257919311523
1674230191.661367,1065,-11.516636848449707
1674230191.673971,1066,-11.453943252563477
1674230191.694204,1067,-11.567264556884766
1674230191.725847,1069,-11.54111385345459
1674230191.741691,1070,-11.536837577819824
1674230191.760943,1071,-11.55922794342041
1674230191.779101,1072,-11.532853126525879
1674230191.790265,1073,-11.529358863830566
1674230191.807378,1074,-11.50003719329834
1674230191.855259,1077,-11.595562934875488
1674230191.872094,1078,-11.478986740112305
1674230191.905096,1080,-11.543943405151367
1674230191.919631,1081,-11.55519962310791
1674230191.933891,1082,-11.511835098266602
1674230191.979422,1085,-11.541723251342773
1674230191.997397,1086,-11.475565910339355
1674230192.010268,1087,-11.517777442932129
1674230192.073973,1091,-11.449857711791992
1674230192.089321,1092,-11.53339672088623
1674230192.106307,1093,-11.575039863586426
1674230192.187,1098,-11.540058135986328
1674230192.214739,1100,-11.481913566589355
1674230192.246782,1102,-11.49759578704834
1674230192.263336,1103,-11.542774200439453
1674230192.274339,1104,-11.478009223937988
1674230192.323474,1107,-11.551579475402832
1674230192.339355,1108,-11.566818237304688
1674230192.355986,1109,-11.518239974975586
1674230192.369436,1110,-11.522610664367676
1674230192.383301,1111,-11.508979797363281
1674230192.398279,1112,-11.484246253967285
1674230192.411342,1113,-11.452510833740234
1674230192.42819,1114,-11.430462837219238
1674230192.464037,1116,-11.470044136047363
1674230192.514134,1119,-11.450305938720703
1674230192.54176,1121,-11.51102352142334
1674230192.561392,1122,-11.500848770141602
1674230192.608642,1125,-11.483841896057129
1674230192.623721,1126,-11.498991012573242
1674230192.656131,1128,-11.445714950561523
1674230192.671136,1129,-11.521269798278809
1674230192.68511,1130,-11.480735778808594
1674230192.698911,1131,-11.455697059631348
1674230192.715225,1132,-11.420583724975586
1674230192.745105,1134,-11.448490142822266
1674230192.761646,1135,-11.48473072052002
1674230192.778633,1136,-11.471097946166992
1674230192.829184,1139,-11.463623046875
